Kanji;Strokes;"On within Joyo";"Kun within Joyo"
亜;7;a;-
哀;9;ai;"awa(re), awa(remu)"
挨;10;ai;-
愛;13;ai;-
曖;17;ai;-
悪;11;"aku, 	o";waru(i)
握;12;aku;nigi(ru)
圧;5;atsu;-
扱;6;-;atsuka(u)
宛;8;-;a(teru)
嵐;12;-;arashi
安;6;an;yasu(i)
案;10;an;-
暗;13;an;kura(i)
以;5;i;-
衣;6;i;koromo
位;7;i;kurai
囲;7;i;"kako(mu), kako(u)"
医;7;i;-
依;8;"i, [e	]";-
委;8;i;yuda(neru)
威;9;i;-
為;9;i;-
畏;9;i;oso(reru)
胃;9;i;-
尉;11;i;-
異;11;i;koto(naru)
移;11;i;"utsu(ru), utsu(su)"
萎;11;i;na(eru)
偉;12;i;era(i)
椅;12;i;-
彙;13;i;-
意;13;i;-
違;13;i;"chiga(u), chiga(eru)"
維;14;i;-
慰;15;i;"nagusa(meru), nagusa(mu)"
遺;15;"i, [yui]";-
緯;16;i;-
域;11;iki;-
育;8;iku;"soda(tsu), soda(teru), haguku(mu)"
一;1;"ichi, 	itsu";"hito, hito(tsu)"
壱;7;ichi;-
逸;11;itsu;-
茨;9;-;[ibara]
芋;6;-;imo
引;4;in;"hi(ku), hi(keru)"
印;6;in;shirushi
因;6;in;yo(ru)
咽;9;in;-
姻;9;in;-
員;10;in;-
院;10;in;-
淫;11;in;mida(ra)
陰;11;in;"kage, kage(ru)"
飲;12;in;no(mu)
隠;14;in;"kaku(su), kaku(reru)"
韻;19;in;-
右;5;"u, 	yuu";migi
宇;6;u;-
羽;6;u;"ha, hane"
雨;8;u;"ame, [ama]"
唄;10;-;[uta]
鬱;29;utsu;-
畝;10;-;une
浦;10;-;ura
運;12;un;hako(bu)
雲;12;un;kumo
永;5;ei;naga(i)
泳;8;ei;oyo(gu)
英;8;ei;-
映;9;ei;"utsu(ru), utsu(su), ha(eru)"
栄;9;ei;"saka(eru), ha(e), ha(eru)"
営;12;ei;itona(mu)
詠;12;ei;yo(mu)
影;15;ei;kage
鋭;15;ei;surudo(i)
衛;16;ei;-
易;8;"i, 	eki";yasa(shii)
疫;9;"eki, [yaku]";-
益;10;"eki, [yaku]";-
液;11;eki;-
駅;14;eki;-
悦;10;etsu;-
越;12;etsu;"ko(su), ko(eru)"
謁;15;etsu;-
閲;15;etsu;-
円;4;en;maru(i)
延;8;en;"no(biru), no(beru), no(basu)"
沿;8;en;so(u)
炎;8;en;honoo
怨;9;"en, on";-
宴;10;en;-
媛;12;en;-
援;12;en;-
園;13;en;sono
煙;13;en;"kemu(ru), kemuri, kemu(i)"
猿;13;en;saru
遠;13;"en, [on]";too(i)
鉛;13;en;namari
塩;13;en;shio
演;14;en;-
縁;15;en;fuchi
艶;19;en;tsuya
汚;6;o;"kega(su), kega(reru), kega(rawashii), yogo(su), yogo(reru), kitana(i)"
王;4;oo;-
凹;5;oo;-
央;5;oo;-
応;7;oo;kota(eru)
往;8;oo;-
押;8;oo;"o(su), o(saeru)"
旺;8;oo;-
欧;8;oo;-
殴;8;oo;nagu(ru)
桜;10;oo;sakura
翁;10;oo;-
奥;12;oo;oku
横;15;oo;yoko
岡;8;-;[oka]
屋;9;oku;ya
億;15;oku;-
憶;16;oku;-
臆;17;oku;-
虞;13;-;osore
乙;1;otsu;-
俺;10;-;ore
卸;9;-;"oro(su), oroshi"
音;9;"on, 	in";"oto, ne"
恩;10;on;-
温;12;on;"atata(ka), atata(kai), atata(maru), atata(meru)"
穏;16;on;oda(yaka)
下;3;"ka, 	ge";"shita, shimo, moto, sa(geru), sa(garu), kuda(ru), kuda(su), kuda(saru), o(rosu), o(riru)"
化;4;"ka, 	ke";"ba(keru), ba(kasu)"
火;4;ka;"hi, [ho]"
加;5;ka;"kuwa(eru), kuwa(waru)"
可;5;ka;-
仮;6;"ka, [ke]";kari
何;7;ka;"nani, [nan]"
花;7;ka;hana
佳;8;ka;-
価;8;ka;atai
果;8;ka;"ha(tasu), ha(teru), ha(te)"
河;8;ka;kawa
苛;8;ka;-
科;9;ka;-
架;9;ka;"ka(keru), ka(karu)"
夏;10;"ka, [ge]";natsu
家;10;"ka, 	ke";"ie, ya"
荷;10;ka;ni
華;10;"ka, [ke]";hana
菓;11;ka;-
貨;11;ka;-
渦;12;ka;uzu
過;12;ka;"su(giru), su(gosu), ayama(tsu), ayama(chi)"
嫁;13;ka;"yome, totsu(gu)"
暇;13;ka;hima
禍;13;ka;-
靴;13;ka;kutsu
寡;14;ka;-
歌;14;ka;"uta, uta(u)"
箇;14;ka;-
稼;15;ka;kase(gu)
課;15;ka;-
蚊;10;-;ka
牙;4;"ga, [ge]";kiba
瓦;5;ga;kawara
我;7;ga;"ware, wa"
画;8;"ga, 	kaku";-
芽;8;ga;me
賀;12;ga;-
雅;13;ga;-
餓;15;ga;-
介;4;kai;-
回;6;"kai, [e]";"mawa(ru), mawa(su)"
灰;6;kai;hai
会;6;"kai, 	e";a(u)
快;7;kai;kokoroyo(i)
戒;7;kai;imashi(meru)
改;7;kai;"arata(meru), arata(maru)"
怪;8;kai;"aya(shii), aya(shimu)"
拐;8;kai;-
悔;9;kai;"ku(iru), ku(yamu), kuya(shii)"
海;9;kai;umi
界;9;kai;-
皆;9;kai;mina
械;11;kai;-
絵;12;"kai, 	e";-
開;12;kai;"hira(ku), hira(keru), a(ku), a(keru)"
階;12;kai;-
塊;13;kai;katamari
楷;13;kai;-
解;13;"kai, 	ge";"to(ku), to(kasu), to(keru)"
潰;15;kai;"tsubu(su), tsubu(reru)"
壊;16;kai;"kowa(su), kowa(reru)"
懐;16;kai;"futokoro, natsu(kashii), natsu(kashimu), natsu(ku), natsu(keru)"
諧;16;kai;-
貝;7;-;kai
外;5;"gai, 	ge";"soto, hoka, ha(zusu), hazu(reru)"
劾;8;gai;-
害;10;gai;-
崖;11;gai;gake
涯;11;gai;-
街;12;"gai, [kai]";machi
慨;13;gai;-
蓋;13;gai;futa
該;13;gai;-
概;14;gai;-
骸;16;gai;-
垣;9;-;kaki
柿;9;-;kaki
各;6;kaku;onoono
角;7;kaku;"kado, tsuno"
拡;8;kaku;-
革;9;kaku;kawa
格;10;"kaku, [koo]";-
核;10;kaku;-
殻;11;kaku;kara
郭;11;kaku;-
覚;12;kaku;"obo(eru), sa(masu), sa(meru)"
較;13;kaku;-
隔;13;kaku;"heda(teru), heda(taru)"
閣;14;kaku;-
確;15;kaku;"tashi(ka), tashi(kameru)"
獲;16;kaku;e(ru)
嚇;17;kaku;-
穫;18;kaku;-
学;8;gaku;mana(bu)
岳;8;gaku;take
楽;13;"gaku, 	raku";"tano(shii), tano(shimu)"
額;18;gaku;hitai
顎;18;gaku;ago
掛;11;-;"ka(keru), ka(karu), kakari"
潟;15;-;kata
括;9;katsu;-
活;9;katsu;-
喝;11;katsu;-
渇;11;katsu;kawa(ku)
割;12;katsu;"wa(ru), wari, wa(reru), sa(ku)"
葛;12;katsu;kuzu
滑;13;"katsu, kotsu";"sube(ru), name(raka)"
褐;13;katsu;-
轄;17;katsu;-
且;5;-;ka(tsu)
株;10;-;kabu
釜;10;‐;kama
鎌;18;‐;kama
刈;4;-;ka(ru)
干;3;kan;"ho(su), hi(ru)"
刊;5;kan;-
甘;5;kan;"ama(i), ama(eru), ama(yakasu)"
汗;6;kan;ase
缶;6;kan;-
完;7;kan;-
肝;7;kan;kimo
官;8;kan;-
冠;9;kan;kanmuri
巻;9;kan;"ma(ku), maki"
看;9;kan;-
陥;10;kan;"ochii(ru), otoshii(reru)"
乾;11;kan;"kawa(ku), kawa(kasu)"
勘;11;kan;-
患;11;kan;wazura(u)
貫;11;kan;tsuranu(ku)
寒;12;kan;samu(i)
喚;12;kan;-
堪;12;kan;ta(eru)
換;12;kan;"ka(eru), ka(waru)"
敢;12;kan;-
棺;12;kan;-
款;12;kan;-
間;12;"kan, 	ken";"aida, ma"
閑;12;kan;-
勧;13;kan;susu(meru)
寛;13;kan;-
幹;13;kan;miki
感;13;kan;-
漢;13;kan;-
慣;14;kan;"na(reru), na(rasu)"
管;14;kan;kuda
関;14;kan;"seki, kaka(waru)"
歓;15;kan;-
監;15;kan;-
緩;15;kan;"yuru(i), yuru(yaka), yuru(mu), yuru(meru) "
憾;16;kan;-
還;16;kan;-
館;16;kan;yakata
環;17;kan;-
簡;18;kan;-
観;18;kan;-
韓;18;kan;-
艦;21;kan;-
鑑;23;kan;kanga(miru)
丸;3;gan;"maru, maru(i), maru(meru)"
含;7;gan;"fuku(mu), fuku(meru)"
岸;8;gan;kishi
岩;8;gan;iwa
玩;8;gan;-
眼;11;"gan, [gen]";manako
頑;13;gan;-
顔;18;gan;kao
願;19;gan;nega(u)
企;6;ki;kuwada(teru)
伎;6;ki;-
危;6;ki;"abu(nai), aya(ui), aya(bumu)"
机;6;ki;tsukue
気;6;"ki, 	ke";-
岐;7;ki;-
希;7;ki;-
忌;7;ki;"i(mu), i(mawashii)"
汽;7;ki;-
奇;8;ki;-
祈;8;ki;ino(ru)
季;8;ki;-
紀;9;ki;-
軌;9;ki;-
既;10;ki;sude(ni)
記;10;ki;shiru(su)
起;10;ki;"o(kiru), o(koru), o(kosu)"
飢;10;ki;u(eru)
鬼;10;ki;oni
帰;10;ki;"kae(ru), kae(su)"
基;11;ki;"moto, motoi"
寄;11;ki;"yo(ru), yo(seru)"
規;11;ki;-
亀;11;ki;kame
喜;12;ki;yoroko(bu)
幾;12;ki;iku
揮;12;ki;-
期;12;"ki, [go]";-
棋;12;ki;-
貴;12;ki;"tatto(i), tooto(i), tatto(bu), tooto(bu)"
棄;13;ki;-
毀;13;ki;-
旗;14;ki;hata
器;15;ki;utsuwa
畿;15;ki;-
輝;15;ki;kagaya(ku)
機;16;ki;hata
騎;18;ki;-
技;7;gi;waza
宜;8;gi;-
偽;11;gi;"itsuwa(ru), nise"
欺;12;gi;azamu(ku)
義;13;gi;-
疑;14;gi;utaga(u)
儀;15;gi;-
戯;15;gi;tawamu(reru)
擬;17;gi;-
犠;17;gi;-
議;20;gi;-
菊;11;kiku;-
吉;6;"kichi, 	kitsu";-
喫;12;kitsu;-
詰;13;kitsu;"tsu(meru), tsu(maru), tsu(mu)"
却;7;kyaku;-
客;9;"kyaku, 	kaku";-
脚;11;"kyaku, [kya]";ashi
逆;9;gyaku;"saka, saka(rau)"
虐;9;gyaku;shiita(geru)
九;2;"kyuu, 	ku";"kokono, kokono(tsu)"
久;3;"kyuu, [ku]";hisa(shii)
及;3;kyuu;"oyo(bu), oyo(bi), oyo(bosu)"
弓;3;kyuu;yumi
丘;5;kyuu;oka
旧;5;kyuu;-
休;6;kyuu;"yasu(mu), yasu(maru), yasu(meru)"
吸;6;kyuu;su(u)
朽;6;kyuu;ku(chiru)
臼;6;kyuu;usu
求;7;kyuu;moto(meru)
究;7;kyuu;kiwa(meru)
泣;8;kyuu;na(ku)
急;9;kyuu;iso(gu)
級;9;kyuu;-
糾;9;kyuu;-
宮;10;"kyuu, guu, [ku]";miya
救;11;kyuu;suku(u)
球;11;kyuu;tama
給;12;kyuu;-
嗅;13;kyuu;ka(gu)
窮;15;kyuu;"kiwa(meru), kiwa(maru)"
牛;4;gyuu;ushi
去;5;"kyo, 	ko";sa(ru)
巨;5;kyo;-
居;8;kyo;i(ru)
拒;8;kyo;koba(mu)
拠;8;"kyo, 	ko";-
挙;10;kyo;"a(geru), a(garu)"
虚;11;"kyo, [ko]";-
許;11;kyo;yuru(su)
距;12;kyo;-
魚;11;gyo;"uo, sakana"
御;12;"gyo, 	go";on
漁;14;"gyo, 	ryoo";-
凶;4;kyoo;-
共;6;kyoo;tomo
叫;6;kyoo;sake(bu)
狂;7;kyoo;"kuru(u), kuru(oshii)"
京;8;"kyoo, 	kei";-
享;8;kyoo;-
供;8;"kyoo, [ku]";"sona(eru), tomo"
協;8;kyoo;-
況;8;kyoo;-
峡;9;kyoo;-
挟;9;kyoo;"hasa(mu), hasa(maru)"
狭;9;kyoo;"sema(i), saba(meru), seba(maru)"
恐;10;kyoo;"oso(reru), oso(roshii)"
恭;10;kyoo;uyauya(shii)
