Kanji;Strokes;"On within Joyo";"Kun within Joyo"
暑;12;sho;atsu(i)
署;13;sho;-
緒;14;"sho, [cho]";o
諸;15;sho;-
女;3;"jo, nyo, [nyoo]";"onna, me"
如;6;"jo, 	nyo";-
助;7;jo;"tasu(keru), tasu(karu), suke"
序;7;jo;-
叙;9;jo;-
徐;10;jo;-
除;10;"jo, [ji]";nozo(ku)
小;3;shoo;"chii(sai), ko, o"
升;4;shoo;masu
少;4;shoo;"suku(nai), suko(shi)"
召;5;shoo;me(su)
匠;6;shoo;-
床;7;shoo;"toko, yuka"
抄;7;shoo;-
肖;7;shoo;-
尚;8;shoo;-
招;8;shoo;mane(ku)
承;8;shoo;uketamawa(ru)
昇;8;shoo;nobo(ru)
松;8;shoo;matsu
沼;8;shoo;numa
昭;9;shoo;-
宵;10;shoo;yoi
将;10;shoo;-
消;10;shoo;"ki(eru), ke(su)"
症;10;shoo;-
祥;10;shoo;-
称;10;shoo;-
笑;10;shoo;"wara(u), e(mu)"
唱;11;shoo;tona(eru)
商;11;shoo;akina(u)
渉;11;shoo;-
章;11;shoo;-
紹;11;shoo;-
訟;11;shoo;-
勝;12;shoo;"ka(tsu), masa(ru)"
掌;12;shoo;-
晶;12;shoo;-
焼;12;shoo;"ya(ku), ya(keru)"
焦;12;shoo;"ko(geru), ko(gasu), ko(gareru), ase(ru)"
硝;12;shoo;-
粧;12;shoo;-
詔;12;shoo;mikotonori
証;12;shoo;-
象;12;"shoo, 	zoo";-
傷;13;shoo;"kizu, ita(mu), ita(meru)"
奨;13;shoo;-
照;13;shoo;"te(ru), te(rasu), te(reru)"
詳;13;shoo;kuwa(shii)
彰;14;shoo;-
障;14;shoo;sawa(ru)
憧;15;shoo;akoga(reru)
衝;15;shoo;-
賞;15;shoo;-
償;17;shoo;tsugu(nau)
礁;17;shoo;-
鐘;20;shoo;kane
上;3;"joo, [shoo]";"ue, [uwa], kami, a(geru), a(garu), nobo(ru), nobo(seru), nobo(su)"
丈;3;joo;take
冗;4;joo;-
条;7;joo;-
状;7;joo;-
乗;9;joo;"no(ru), no(seru)"
城;9;joo;shiro
浄;9;joo;-
剰;11;joo;-
常;11;joo;"tsune, toko"
情;11;"joo, [sei]";nasa(ke)
場;12;joo;ba
畳;12;joo;"tata(mu), tatami"
蒸;13;joo;"mu(su), mu(reru), mu(rasu)"
縄;15;joo;nawa
壌;16;joo;-
嬢;16;joo;-
錠;16;joo;-
譲;20;joo;yuzu(ru)
醸;20;joo;kamo(su)
色;6;"shoku, 	shiki";iro
拭;9;shoku;"fu(ku), nugu(u)"
食;9;"shoku, [jiki]";"ku(u), ku(rau), ta(beru)"
植;12;shoku;"u(eru), u(waru)"
殖;12;shoku;"fu(eru), fu(yasu)"
飾;13;shoku;kaza(ru)
触;13;shoku;"fu(reru), sawa(ru)"
嘱;15;shoku;-
